square,ssquare,townumber,lat1,lon1,lat2,lon2,vid
476,1,12,645740,264540,645860,263880,77
477,3,1,643935,275038,644234,274985,78
477,1,21,645000,274000,645300,274000,78
477,2,51,645391,272821,645095,272718,78
477,4,61,643670,271960,643430,272350,78
477,2,71,645180,271280,645480,271390,78
478,2,3,644517,280360,644570,281053,78
478,2,4,644950,280355,644650,280389,78
478,4,5,643633,280271,643334,280328,78
478,4,7,644364,281330,644070,281467,78
478,1,41,644903,285464,645191,285267,78
478,1,44,645269,284742,645009,284391,78
509,3,1,650671,94023,650371,93984,78
510,1,1,652872,104381,652572,104393,78
511,2,2,652673,112311,652398,112021,78
511,2,3,652411,111097,652703,110933,78
511,1,11,651766,115732,651616,115095,77
511,4,21,650836,112702,650559,112979,78
511,4,41,651031,111556,651329,111646,78
512,4,14,650393,122080,650476,121387,77
513,4,2,650396,130273,650730,130314,77
513,2,11,652054,130809,652077,131529,77
513,3,35,651187,134565,651191,134413,77
521,2,35,652344,210869,652571,210833,77
521,2,36,652438,210011,652635,210125,77
523,3,11,651046,234789,650780,235122,77
523,4,31,651384,231100,651218,231686,77
523,1,35,651410,233786,651517,233068,77
523,1,36,652065,233023,651929,233526,77
524,3,11,651451,245090,651148,245214,77
524,3,12,650700,250010,650900,250120,77
524,2,35,651608,242250,651876,241986,77
525,1,11,651937,254924,651762,255512,77
525,3,13,651475,255289,651306,255886,77
526,2,3,652564,262598,652262,262617,77
526,4,11,650963,262483,650874,263167,77
527,2,1,652498,265994,652198,270028,77
527,2,2,651673,272647,651910,273086,78
527,4,71,650070,271050,650250,270440,78
528,4,1,650480,281343,650771,281168,78
528,2,2,652007,282783,651746,283136,78
528,1,4,652776,284142,653071,284270,78
528,2,5,652624,281685,652591,282402,78
528,4,6,650849,280503,651106,280135,78
528,2,7,652482,275712,652596,280379,78
528,1,8,651917,283413,652062,284042,78
529,2,21,653011,290247,652756,285865,78
560,4,1,653638,100952,653717,100251,78
561,1,1,654881,114843,654868,115574,78
561,3,1,653600,113604,653859,113210,77
561,4,2,653500,110625,653204,110501,78
561,1,3,655226,113413,654929,113520,78
561,3,4,653979,113525,653703,113216,78
561,2,21,654774,112765,654479,112630,78
562,2,1,654752,115666,654947,120233,77
562,1,3,654900,122951,654838,123669,77
563,4,2,653652,132362,653745,133060,77
563,4,11,653721,130258,653943,130744,77
564,2,1,654988,140635,655080,141449,77
564,3,35,654676,143800,654751,143352,77
569,1,11,655979,194951,655686,194749,77
569,1,33,655750,193370,655484,193000,77
570,1,2,655899,203610,655621,203338,77
570,1,33,654770,203043,655070,202720,77
571,2,1,655457,210686,655660,210117,77
571,4,33,653880,210290,653590,210440,77
571,4,34,653950,212280,654040,212000,77
571,3,35,654091,213560,654010,213291,77
573,1,31,654589,234196,654716,234855,77
574,3,1,653984,245961,653683,245990,77
574,3,31,654015,245074,653711,245078,77
574,2,35,655310,240091,655607,240200,77
575,1,1,655068,254662,654777,254885,77
575,4,3,654410,251810,654320,252510,77
576,3,2,654216,263244,653945,263565,77
576,2,3,654876,260050,654975,260738,77
576,1,71,654522,264376,654810,264173,78
577,4,1,653110,271957,653391,271701,78
577,4,5,654380,272402,654240,273047,78
577,2,6,655439,270944,655348,271644,78
577,3,7,654022,273141,653860,273754,78
577,2,8,654994,270169,655293,270125,78
577,3,11,653233,280006,653088,275373,78
577,1,41,654624,273993,654624,273262,78
577,3,42,654296,280019,654395,275330,78
578,2,3,655770,281551,655512,281177,78
578,4,4,654320,281158,654166,280532,78
578,3,6,653356,284634,653477,285298,78
579,4,1,654298,292302,654589,292123,78
612,1,1,662054,123128,661800,122731,78
612,4,1,661553,121585,661500,120838,77
612,4,13,655977,120929,660261,120652,77
613,2,3,662121,131562,662279,130905,77
613,2,12,661500,132628,661594,131916,77
614,4,11,661130,142720,661429,142597,77
614,4,12,660223,142084,660454,142548,77
615,2,1,662450,152699,662738,152892,77
616,1,11,661813,164164,661611,164728,77
616,1,33,662256,164304,662451,164862,77
616,2,36,661592,163106,661789,163275,77
617,1,3,662692,172688,662700,173441,77
617,2,12,661515,172962,661814,173017,77
617,3,33,660905,173160,660612,173279,77
617,3,35,660725,174702,660579,174374,77
618,2,11,662338,182695,662029,182733,77
618,2,12,662633,180898,662402,181402,77
618,2,31,660307,182893,660012,182652,77
619,1,1,662261,194628,661957,194676,77
619,2,4,662017,190294,662315,190442,77
620,3,1,661495,203862,661192,203748,77
620,1,2,662336,204788,662636,204794,77
621,4,14,660791,210215,660495,210080,77
622,3,1,660808,225338,660953,230000,77
622,1,35,661650,224385,661657,224868,77
622,3,36,660506,224235,660410,223838,77
622,3,37,660430,223389,660258,223160,77
623,2,14,661633,231138,661787,231778,77
623,3,31,661210,235128,661011,235683,77
624,2,4,662294,240384,662071,240901,77
624,4,5,660720,241270,660500,241453,77
625,3,11,661278,254998,661063,255531,77
625,2,16,661530,250830,661790,250730,77
625,1,71,662080,253650,662350,253170,78
626,4,1,661236,260800,661400,260177,78
626,4,11,660350,261032,660142,261570,77
627,3,1,661072,273285,661015,272568,78
628,3,1,661220,283008,661415,283573,78
662,3,2,663655,124597,663361,124565,78
662,3,41,664477,124865,664243,124389,78
663,4,1,663750,130621,664048,130510,77
